,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,look_back_0_open,look_back_0_close,look_back_0_high,look_back_0_low,look_back_1_open,look_back_1_close,look_back_1_high,look_back_1_low,look_back_2_open,look_back_2_close,look_back_2_high,look_back_2_low,look_back_3_open,look_back_3_close,look_back_3_high,look_back_3_low,look_back_4_open,look_back_4_close,look_back_4_high,look_back_4_low
3638,000001.SH,20070118,2756.983,2760.944,2784.043,2679.705,2778.9,-21.917,-0.7887,112313956.0,84133817.337,2.874521318654071,2.863997935845679,2.9358895639181606,2.6586896862453373,3.0537376362773294,2.922225903785981,3.165376886212058,2.8257540339202034,3.0278662144676542,3.0341202016251785,3.0601191473870895,2.864587734124765,2.6065244195342077,2.9642051948123402,2.9658789466854247,2.603360231469376,2.833014928950583,2.6278846815335704,2.9305282444262803,2.5866200559895276
3637,000001.SH,20070119,2832.207,2761.886,2833.454,2761.886,2756.983,75.224,2.7285,122061894.0,89644076.248,2.8185970738561235,3.002401932296773,3.005661337858064,2.8185970738561235,2.8161348765516045,2.8057816244038336,2.876510986463588,2.6037925763161134,2.9924538187712955,2.8630682255961335,3.1022882061738435,2.7681560084818027,2.967000658101012,2.973153537564746,2.9987321605180632,2.80636188746286,2.5524706611629995,2.9043688408920008,2.906015533356807,2.549357628265247
3636,000001.SH,20070122,2933.19,2857.896,2934.647,2857.896,2832.207,100.983,3.5655,138576090.0,103038439.662,3.00014100747442,3.1933035242762315,3.1970413757249556,3.00014100747442,2.753832759298708,2.93423732465611,2.9374364329310314,2.753832759298708,2.7514161113476456,2.741254388912233,2.8106752950223752,2.5430020318398174,2.924473245991838,2.7974812181515523,3.0322757550699713,2.7043248270698275,2.8994909553894526,2.9055300098234236,2.930635441722679,2.7418239174102537
3635,000001.SH,20070123,2949.144,2964.687,2970.685,2851.919,2933.19,15.954,0.5439,142791803.0,109027312.169,3.2025828971666632,3.163427607170286,3.217692813489012,2.918502363015508,2.9335593769966155,3.123236942781032,3.126907357599581,2.9335593769966155,2.6916949111565502,2.868844698703047,2.871986090109178,2.6916949111565502,2.6893218632779816,2.6793434740561044,2.7475119194850404,2.4846678966038747,2.859256779142717,2.7345558841989717,2.9651143639678956,2.6430801787142886
3634,000001.SH,20070124,2975.129,2955.424,2994.282,2927.721,2949.144,25.985,0.8811,122056790.0,97516182.441,3.109923527651741,3.1586745500438673,3.206059900557768,3.041385107284876,3.1328405903474157,3.094386535993656,3.147679901806841,2.8538476802679784,2.8686350368189935,3.0549156498610013,3.058520330887407,2.8686350368189935,2.631102143651368,2.8050793395730484,2.8081644715153473,2.631102143651368,2.628771594902655,2.618971909559077,2.685919520111269,2.427782794693878
3633,000001.SH,20070125,2857.365,2946.504,2947.149,2853.822,2975.129,-117.764,-3.9583,117197215.0,92960236.879,3.0343841580719255,2.8168834296903955,3.035957969420562,2.8082384473520734,3.056149115017407,3.104229661722643,3.1509633187155583,2.9885533075890813,3.0787509979978993,3.0408258045221577,3.0933862235314193,2.8035950938691974,2.8181790790332273,3.00189776381496,3.0054528694505613,2.8181790790332273,2.58391298975793,2.7554974670407977,2.758540168981495,2.58391298975793
3632,000001.SH,20070126,2882.558,2805.956,2905.984,2720.827,2857.365,25.193,0.8817,109599131.0,84624396.173,2.6432499800568103,2.8275773463759815,2.8839473221389236,2.438404096563106,2.9814505842372085,2.7669554391192657,2.9830026475159204,2.758429919434809,3.0029147771769105,3.0503309119164634,3.0964187692453993,2.9362530577813333,3.025204330898934,2.98780321533147,3.0396373162411234,2.753850731187695,2.76823318423709,2.9494131106050134,2.9529190892051416,2.76823318423709
3631,000001.SH,20070129,2945.263,2897.254,2954.336,2885.861,2882.558,62.705,2.1753,112067906.0,89180333.979,2.809095145153264,2.9229035955435374,2.9444117309013023,2.7820872992223684,2.592667310711157,2.774257323350364,2.829790176749571,2.3908634911507916,2.925845466587182,2.714535681768948,2.9273744809491085,2.7061367703204136,2.9469909055149093,2.993702886912987,3.039106316485045,2.881319146028943,2.968949448204094,2.93210375792902,2.9831680964875593,2.7016255853115045
3630,000001.SH,20070130,2930.562,2959.398,2980.51,2901.762,2945.263,-14.701,-0.4991,111931721.0,87664383.244,2.904605906527814,2.8371928512841693,2.9539617264162805,2.7698639571581833,2.759325114980407,2.8715609788031324,2.8927719182616416,2.7326904590506373,2.5458878449833824,2.724968676505563,2.779734186012347,2.346872517620497,2.8744621995534914,2.6660722588070915,2.875970086244855,2.6577894021443016,2.895315454261957,2.94138197713531,2.9861580295379153,2.8305511364157
3629,000001.SH,20070131,2786.335,2926.075,2929.646,2766.747,2930.562,-144.227,-4.9215,114265970.0,86136968.599,2.789231423956878,2.465780614336548,2.7974970804700763,2.420441023247074,2.866362891890028,2.7996173104801816,2.915230027232124,2.7329550568873278,2.7225205624707787,2.8336451504131177,2.85464607495645,2.6961496230546884,2.5111965892582635,2.688504295845758,2.742727558091113,2.3141517633518003,2.8365176454377266,2.6301910265830917,2.8380106021588167,2.621990180594221
